Ano,NomeConcelho,CodNomeConcelho,Sigla,PVotos,Sigla_2,Sigla_3,Sigla_4,PVotos_2,PVotos_3,PVotos_4,PVotos_outros
1999,Peniche,PENICHE,PS,51.3,PPD/PSD,PCP-PEV,CDS/PP,29.2,8.7,7.1,1.5
1999,Nisa,NISA,PS,54.5,PPD/PSD,PCP-PEV,CDS/PP,23.5,13.1,5.4,1.1
1999,Miranda do Douro,MIRANDA DO DOURO,PPD/PSD,49.8,PS,CDS/PP,PCP-PEV,41.6,5.2,1.4,0
1999,Vendas Novas,VENDAS NOVAS,PS,37.3,PCP-PEV,PPD/PSD,CDS/PP,30.8,22.3,5.7,1.9
1999,Redondo,REDONDO,PS,46.5,PCP-PEV,PPD/PSD,CDS/PP,24.9,17.3,5.7,3.8
1999,Freixo de Espada à Cinta,FREIXO DE ESPADA Ã€ CINTA,PPD/PSD,45.1,PS,CDS/PP,PCP-PEV,44.7,6.1,2.2,0
1999,Mora,MORA,PS,36.7,PCP-PEV,PPD/PSD,CDS/PP,34.7,20.3,3.9,2.4
1999,Boticas,BOTICAS,PPD/PSD,58.7,PS,CDS/PP,PCP-PEV,33.5,3.7,2,0.3
1999,Mira,MIRA,PPD/PSD,44.8,PS,CDS/PP,PCP-PEV,43.4,7.3,2.1,0.3
1999,Oeiras,OEIRAS,PS,39.8,PPD/PSD,PCP-PEV,CDS/PP,30.8,10.7,9.6,7
1999,Vizela,VIZELA,PS,65.4,PPD/PSD,CDS/PP,PCP-PEV,21,5.9,5.2,1.6
1999,Aljustrel,ALJUSTREL,PS,44.5,PCP-PEV,PPD/PSD,CDS/PP,39.9,8.2,2.8,2.4
1999,Guarda,GUARDA,PS,49,PPD/PSD,CDS/PP,PCP-PEV,34.1,10.6,3.5,0.2
1999,Paredes de Coura,PAREDES DE COURA,PS,54.5,PPD/PSD,CDS/PP,PCP-PEV,32.1,6.7,3.1,1.5
1999,Castelo Branco,CASTELO BRANCO,PS,56.9,PPD/PSD,CDS/PP,PCP-PEV,28.8,6.8,4.3,1.2
1999,Soure,SOURE,PS,58.4,PPD/PSD,PCP-PEV,CDS/PP,28.2,5.7,4.9,0.4
1999,Chaves,CHAVES,PPD/PSD,47.9,PS,CDS/PP,PCP-PEV,40.9,6.2,2.5,0.2
1999,Ponte da Barca,PONTE DA BARCA,PPD/PSD,45.1,PS,CDS/PP,PCP-PEV,43.3,7.6,2,0.7
1999,Alandroal,ALANDROAL,PS,46.8,PCP-PEV,PPD/PSD,CDS/PP,32.8,12.8,3.6,3
1999,Vidigueira,VIDIGUEIRA,PS,50.9,PCP-PEV,PPD/PSD,CDS/PP,27.1,13.2,4.5,2.2
